r1022;Ritter, Georg Wilhelm;1
b1284;Bartók, Béla Viktor János;1
e0038;Eck, Johann Friedrich;1
s0409;Schilling, Hans;1
d0036;Danner, Christian Franz;1
k0806;Korn, Peter Jona;1
t0239;Tombo, August;1
f1490;Fischer, Wilhelm;1
f0357;Kanzler, Josephine von;1
b2658;Brojer, Robert;1
b0076;Bagge, Selmar;1
p1411;Pfeifer, August;1
b0447;Berger, Johann Georg;1
g0696;Gröschel, Ernst;1
n0193;Niest, Karl;1
s1152;Schweitzer, Albert;1
m2005;Muncker, Franz;1
s2584;Stirnweiß, Leonhard;1
n0386;Naumann-Gungl, Virginia;1
h0305;Hammerstein, Reinhold;1
s0199;Scharl, Placidus;1
f1465;Finscher, Ludwig;1
m0026;Madlseder, Nonnosus Johannes Baptist;1
s0798;Schnorr, Klemens;1
s0938;Schreier, Gregor;1
s0901;Schrade, Leo;1
h1337;Holzinger, Benedictus;1
s3540;Sinopoli, Giuseppe;1
e0163;Eisenhofer, Franz Xaver;1
w0470;Wendling, Carl;1
t0243;Torelli, Giuseppe;1
b1286;Bassani, Giovanni Battista;1
g1671;Golther, Wolfgang;1
c0007;Cahnbley, Ernst;1
r0582;Ries, Franz Anton;1
s0717;Schnebel, Dieter Wolfgang;1
o0219;Ozawa, Seiji;1
s0523;Schloter, Elmar;1
v0467;Vivaldi, Antonio;1
v0148;Vogler, Carl;1
m1169;Münch, Charles;1
g0214;Gennrich, Friedrich;1
k0920;Krebs, Karl August;1
k0774;Komma, Karl Michael;1
j0314;Jobst, Max;1
p0418;Pierlot, Pierre;1
v0443;Vanhal, Johann Baptist;1
k0611;Knorr, Ernst-Lothar von;1
g0401;Gluck, Christoph Willibald von;1
b0312;Becker, Paul;1
d0473;Dittersdorf, Karl Ditters von;1
s1469;Sinzheimer, Max;1
t0025;Tausch, Franz;1
p0478;Pixis, Friedrich W.;1
f0250;Fink, Siegfried;1
d0276;Doflein, Erich;1
b0698;Bodenschatz, Salomo Heinrich;1
r0108;Rangström, Ture;1
r0379;Reißiger, Carl Gottlieb;1
m0602;Mersmann, Hans;1
s0234;Scheck, Gustav;1
s1063;Schuster, Walther R.;1
c0628;Cherubini, Luigi;1
l0764;Lothar, Mark;1
s2029;Strunz, Jakob;1
r0914;Ruhland, Konrad;1
m0650;Metzger, Karl Theodor;1
s1466;Singer, Peter;1
l0637;Lobs, Anton;1
k1367;Kunad, Rainer;1
m0579;Menter, Georg;1
s2868;Staudigl, Joseph (2);1
s1656;Stahl, Friedrich;1
s2393;Schroeder, Hermann;1
r0592;Riethmüller, Helmut;1
w0318;Weigl, Joseph (2);1
s3515;Seitz, Friedrich;1
s1049;Schulze, Herbert;1
w0938;Wohlmuth, Andreas Michael;1
f0411;Foggia, Antonio;1
s0687;Schmittbaur, Joseph Aloys;1
s2388;Schmid, Manfred Hermann;1
s0134;Sawallisch, Wolfgang;1
k2288;Koczirz, Adolf;1
h1179;Hoffmann, Johann;1
m0878;Moser, Andreas;1
b1067;Buonamici, Giuseppe;1
r0539;Riedl, Josef Anton;1
b0329;Beecke, Ignaz von;1
s0469;Schleich, Johann Jost;1
w0694;Will, Nikolaus;1
e0251;Engert, Kurt;1
k0880;Kraus, Eberhard;1
l0145;Lang, Walter;1
k0733;Koetsier, Jan;1
